i,r,random,b,i_square,r_square,s
0,0.0,3,False,0,0.0,result 0.0
1,1.11111111111,6,False,1,1.23456790123,result 1.235
2,2.22222222222,4,False,4,4.93827160494,result 4.938
3,3.33333333333,2,False,9,11.1111111111,result 11.111
4,4.44444444444,1,False,16,19.7530864198,result 19.753
5,5.55555555556,0,True,25,30.8641975309,result 30.864
6,6.66666666667,8,True,36,44.4444444444,result 44.444
7,7.77777777778,6,True,49,60.4938271605,result 60.494
8,8.88888888889,0,True,64,79.012345679,result 79.012
9,10.0,1,True,81,100.0,result 100.0
